,cStatoCT,cConteaCT,nSitCT,dateCT,O3meanCT
117,9.0,1.0,9003.0,2008-07-26,0.0485
118,9.0,1.0,9003.0,2008-07-27,0.034708
119,9.0,1.0,9003.0,2008-07-28,0.035625
120,9.0,1.0,9003.0,2008-07-31,0.034542
121,9.0,1.0,9003.0,2008-08-01,0.037458
122,9.0,1.0,9003.0,2008-08-02,0.028542
123,9.0,1.0,9003.0,2008-08-03,0.023542
124,9.0,1.0,9003.0,2008-08-04,0.0175
125,9.0,1.0,9003.0,2008-08-05,0.03025
126,9.0,1.0,9003.0,2008-08-06,0.036333
127,9.0,1.0,9003.0,2008-08-07,0.030792
128,9.0,1.0,9003.0,2008-08-08,0.017294
129,9.0,1.0,9003.0,2008-08-09,0.026125
130,9.0,1.0,9003.0,2008-08-10,0.031375
131,9.0,1.0,9003.0,2008-08-11,0.02725
132,9.0,1.0,9003.0,2008-08-12,0.021292
133,9.0,1.0,9003.0,2008-08-13,0.032208
134,9.0,1.0,9003.0,2008-08-14,0.035333
135,9.0,1.0,9003.0,2008-08-15,0.032375
136,9.0,1.0,9003.0,2008-08-16,0.020375
137,9.0,1.0,9003.0,2008-08-17,0.026125
138,9.0,1.0,9003.0,2008-08-18,0.042417
139,9.0,1.0,9003.0,2008-08-19,0.027583
140,9.0,1.0,9003.0,2008-08-20,0.016167
141,9.0,1.0,9003.0,2008-08-21,0.025
142,9.0,1.0,9003.0,2008-08-22,0.016125
143,9.0,1.0,9003.0,2008-08-23,0.00575
144,9.0,1.0,9003.0,2008-08-24,0.028818
145,9.0,1.0,9003.0,2008-08-25,0.019
146,9.0,1.0,9003.0,2008-08-26,0.0115
147,9.0,1.0,9003.0,2008-08-27,0.019
148,9.0,1.0,9003.0,2008-08-28,0.020708
149,9.0,1.0,9003.0,2008-08-29,0.021792
150,9.0,1.0,9003.0,2008-08-30,0.016208
151,9.0,1.0,9003.0,2008-08-31,0.021167
152,9.0,1.0,9003.0,2008-09-01,0.018625
153,9.0,1.0,9003.0,2008-09-02,0.029625
154,9.0,1.0,9003.0,2008-09-03,0.031833
155,9.0,1.0,9003.0,2008-09-04,0.038625
156,9.0,1.0,9003.0,2008-09-05,0.028708
157,9.0,1.0,9003.0,2008-09-06,0.013667
158,9.0,1.0,9003.0,2008-09-07,0.018958
159,9.0,1.0,9003.0,2008-09-08,0.035917
160,9.0,1.0,9003.0,2008-09-09,0.023292
161,9.0,1.0,9003.0,2008-09-10,0.014625
162,9.0,1.0,9003.0,2008-09-11,0.027417
163,9.0,1.0,9003.0,2008-09-12,0.029667
164,9.0,1.0,9003.0,2008-09-13,0.023667
165,9.0,1.0,9003.0,2008-09-14,0.031438
166,9.0,1.0,9003.0,2008-09-15,0.026333
167,9.0,1.0,9003.0,2008-09-16,0.009125
168,9.0,1.0,9003.0,2008-09-17,0.017292
169,9.0,1.0,9003.0,2008-09-18,0.01875
170,9.0,1.0,9003.0,2008-09-19,0.018042
171,9.0,1.0,9003.0,2008-09-20,0.016333
172,9.0,1.0,9003.0,2008-09-21,0.02775
173,9.0,1.0,9003.0,2008-09-22,0.016
174,9.0,1.0,9003.0,2008-09-23,0.012292
175,9.0,1.0,9003.0,2008-09-26,0.020667
176,9.0,1.0,9003.0,2008-09-29,0.010533
177,9.0,1.0,9003.0,2008-09-30,0.016474
178,9.0,3.0,1003.0,2008-03-31,0.0345
179,9.0,3.0,1003.0,2008-04-01,0.032625
180,9.0,3.0,1003.0,2008-04-02,0.040583
181,9.0,3.0,1003.0,2008-04-03,0.030875
182,9.0,3.0,1003.0,2008-04-04,0.016875
183,9.0,3.0,1003.0,2008-04-05,0.02475
184,9.0,3.0,1003.0,2008-04-06,0.03775
185,9.0,3.0,1003.0,2008-04-07,0.04225
186,9.0,3.0,1003.0,2008-04-08,0.034875
187,9.0,3.0,1003.0,2008-04-09,0.028
188,9.0,3.0,1003.0,2008-04-10,0.034167
189,9.0,3.0,1003.0,2008-04-11,0.030083
190,9.0,3.0,1003.0,2008-04-12,0.032
191,9.0,3.0,1003.0,2008-04-13,0.033833
192,9.0,3.0,1003.0,2008-04-14,0.026042
193,9.0,3.0,1003.0,2008-04-15,0.027875
194,9.0,3.0,1003.0,2008-04-16,0.030875
195,9.0,3.0,1003.0,2008-04-17,0.035
196,9.0,3.0,1003.0,2008-04-18,0.04
197,9.0,3.0,1003.0,2008-04-19,0.045875
198,9.0,3.0,1003.0,2008-04-20,0.047167
199,9.0,3.0,1003.0,2008-04-21,0.037167
200,9.0,3.0,1003.0,2008-04-22,0.036542
201,9.0,3.0,1003.0,2008-04-23,0.037375
202,9.0,3.0,1003.0,2008-04-24,0.038958
203,9.0,3.0,1003.0,2008-04-25,0.040292
204,9.0,3.0,1003.0,2008-04-26,0.045542
205,9.0,3.0,1003.0,2008-04-27,0.037583
206,9.0,3.0,1003.0,2008-04-28,0.023833
207,9.0,3.0,1003.0,2008-04-29,0.025333
208,9.0,3.0,1003.0,2008-04-30,0.027792
209,9.0,3.0,1003.0,2008-05-01,0.035167
210,9.0,3.0,1003.0,2008-05-02,0.029167
211,9.0,3.0,1003.0,2008-05-03,0.039583
212,9.0,3.0,1003.0,2008-05-04,0.030542
213,9.0,3.0,1003.0,2008-05-05,0.03525
214,9.0,3.0,1003.0,2008-05-06,0.04
215,9.0,3.0,1003.0,2008-05-07,0.050625
216,9.0,3.0,1003.0,2008-05-08,0.038556
217,9.0,3.0,1003.0,2008-05-09,0.022625
218,9.0,3.0,1003.0,2008-05-10,0.028583
219,9.0,3.0,1003.0,2008-05-11,0.0345
220,9.0,3.0,1003.0,2008-05-12,0.038667
221,9.0,3.0,1003.0,2008-05-13,0.029292
222,9.0,3.0,1003.0,2008-05-14,0.032375
223,9.0,3.0,1003.0,2008-05-15,0.020542
224,9.0,3.0,1003.0,2008-05-16,0.016958
225,9.0,3.0,1003.0,2008-05-17,0.044542
226,9.0,3.0,1003.0,2008-05-18,0.036667
227,9.0,3.0,1003.0,2008-05-19,0.027833
228,9.0,3.0,1003.0,2008-05-20,0.017833
229,9.0,3.0,1003.0,2008-05-21,0.025625
230,9.0,3.0,1003.0,2008-05-22,0.016417
231,9.0,3.0,1003.0,2008-05-23,0.026667
232,9.0,3.0,1003.0,2008-05-24,0.023833
233,9.0,3.0,1003.0,2008-05-25,0.032375
234,9.0,3.0,1003.0,2008-05-26,0.046833
235,9.0,3.0,1003.0,2008-05-27,0.0345
236,9.0,3.0,1003.0,2008-05-28,0.026833
237,9.0,3.0,1003.0,2008-05-29,0.027708
238,9.0,3.0,1003.0,2008-05-30,0.050333
239,9.0,3.0,1003.0,2008-05-31,0.040667
240,9.0,3.0,1003.0,2008-06-01,0.033708
241,9.0,3.0,1003.0,2008-06-02,0.024917
242,9.0,3.0,1003.0,2008-06-03,0.045833
243,9.0,3.0,1003.0,2008-06-04,0.0355
244,9.0,3.0,1003.0,2008-06-05,0.034542
245,9.0,3.0,1003.0,2008-06-06,0.025583
246,9.0,3.0,1003.0,2008-06-07,0.04025
247,9.0,3.0,1003.0,2008-06-08,0.017958
248,9.0,3.0,1003.0,2008-06-09,0.029708
249,9.0,3.0,1003.0,2008-06-10,0.053917
250,9.0,3.0,1003.0,2008-06-11,0.036833
251,9.0,3.0,1003.0,2008-06-12,0.030667
252,9.0,3.0,1003.0,2008-06-13,0.041833
253,9.0,3.0,1003.0,2008-06-14,0.038708
254,9.0,3.0,1003.0,2008-06-15,0.023042
255,9.0,3.0,1003.0,2008-06-16,0.032417
256,9.0,3.0,1003.0,2008-06-17,0.023958
257,9.0,3.0,1003.0,2008-06-18,0.022708
258,9.0,3.0,1003.0,2008-06-19,0.026875
259,9.0,3.0,1003.0,2008-06-20,0.030542
260,9.0,3.0,1003.0,2008-06-21,0.04475
261,9.0,3.0,1003.0,2008-06-22,0.040625
262,9.0,3.0,1003.0,2008-06-23,0.028667
263,9.0,3.0,1003.0,2008-06-24,0.026833
264,9.0,3.0,1003.0,2008-06-25,0.02875
265,9.0,3.0,1003.0,2008-06-26,0.014792
266,9.0,3.0,1003.0,2008-06-27,0.014417
267,9.0,3.0,1003.0,2008-06-28,0.051792
268,9.0,3.0,1003.0,2008-06-29,0.03975
269,9.0,3.0,1003.0,2008-06-30,0.035875
270,9.0,3.0,1003.0,2008-07-01,0.032833
271,9.0,3.0,1003.0,2008-07-02,0.0275
272,9.0,3.0,1003.0,2008-07-03,0.046667
273,9.0,3.0,1003.0,2008-07-04,0.018458
274,9.0,3.0,1003.0,2008-07-05,0.024208
275,9.0,3.0,1003.0,2008-07-06,0.038
276,9.0,3.0,1003.0,2008-07-07,0.034
277,9.0,3.0,1003.0,2008-07-08,0.053235
278,9.0,3.0,1003.0,2008-07-09,0.048208
279,9.0,3.0,1003.0,2008-07-10,0.026375
280,9.0,3.0,1003.0,2008-07-11,0.029792
281,9.0,3.0,1003.0,2008-07-12,0.040958
282,9.0,3.0,1003.0,2008-07-13,0.030458
283,9.0,3.0,1003.0,2008-07-14,0.018875
284,9.0,3.0,1003.0,2008-07-15,0.02575
285,9.0,3.0,1003.0,2008-07-16,0.044583
286,9.0,3.0,1003.0,2008-07-17,0.032708
287,9.0,3.0,1003.0,2008-07-18,0.036667
